date,month.num,day.num,day,start.time,end.time,total.time,total.sec,moving.time,moving.sec,stat.time,stat.sec,distance,max.speed,avg.speed,to.from,mpg,gal.fuel,lit.fuel,fuel.price,cost
08/04/15,4,8,Wed,06:40,07:19,39:12,2352,37:06,2226,02:06,126,25.35,72.14,38.8,To,36.1,0.7,3.19,1.13,3.60
08/04/15,4,8,Wed,16:36,17:15,38:55,2335,34:34,2074,04:21,261,24.41,69.35,37.63,From,36.1,0.68,3.07,1.13,3.47
10/04/15,4,10,Fri,06:32,07:08,35:45,2145,34:36,2076,01:09,69,25.18,71.58,42.25,To,36.1,0.7,3.17,1.13,3.58
10/04/15,4,10,Fri,16:02,16:40,38:19,2299,34:53,2093,03:26,206,25.02,82.21,39.16,From,36.1,0.69,3.15,1.13,3.56
13/04/15,4,13,Mon,06:34,07:13,39:26,2366,37:51,2271,01:35,95,25.13,69.35,38.23,To,35.5,0.71,3.22,1.13,3.64
13/04/15,4,13,Mon,16:19,16:55,36:07,2167,33:40,2020,02:27,147,25.13,84.44,41.73,From,35.5,0.71,3.22,1.13,3.64
14/04/15,4,14,Tue,06:31,07:11,39:08,2348,36:03,2163,03:05,185,25.51,71.58,39.1,To,35.5,0.72,3.27,1.13,3.70
14/04/15,4,14,Tue,16:04,16:42,37:54,2274,36:44,2204,01:10,70,25.22,73.82,39.91,From,35.5,0.71,3.23,1.13,3.65
15/04/15,4,15,Wed,06:32,07:12,39:43,2383,37:47,2267,01:56,116,25.51,68.23,38.52,To,36,0.71,3.22,1.13,3.64
15/04/15,4,15,Wed,16:03,16:43,39:26,2366,35:56,2156,03:30,210,25.2,69.35,38.33,From,36,0.7,3.18,1.13,3.59
16/04/15,4,16,Thu,06:31,07:10,38:24,2304,37:34,2254,00:50,50,25.36,72.71,39.61,To,36.4,0.7,3.17,1.13,3.58
16/04/15,4,16,Thu,16:03,16:44,40:29,2429,38:31,2311,01:58,118,25.1,70.46,37.2,From,36.4,0.69,3.13,1.13,3.54
17/04/15,4,17,Fri,06:33,07:10,37:14,2234,36:00,2160,01:14,74,25.46,64.32,41.03,To,37.4,0.68,3.09,1.13,3.49
17/04/15,4,17,Fri,16:02,16:48,46:00,2760,43:16,2596,02:44,164,25.15,72.14,32.8,From,37.6,0.67,3.04,1.13,3.44
20/04/15,4,20,Mon,06:47,07:42,52:47,3167,49:36,2976,03:11,191,25.44,69.9,27.44,To,38,0.67,3.04,1.13,3.44
20/04/15,4,20,Mon,16:32,17:17,44:12,2652,40:17,2417,03:55,235,25.16,76.62,34.15,From,38,0.66,3.01,1.13,3.40
21/04/15,4,21,Tue,06:44,07:32,48:18,2898,44:53,2693,03:25,205,25.56,72.7,31.76,To,36,0.71,3.23,1.13,3.65
21/04/15,4,21,Tue,16:35,17:16,41:16,2476,37:38,2258,03:38,218,25.01,77.17,36.36,From,36,0.69,3.16,1.13,3.57
22/04/15,4,22,Wed,06:45,06:36,49:35,2975,46:19,2779,03:16,196,25.6,74.38,29.78,To,36.7,0.70,3.17,1.13,3.58
22/04/15,4,22,Wed,16:32,17:14,41:44,2504,37:19,2239,04:25,265,25.17,76.62,36.19,From,36.7,0.69,3.12,1.13,3.52
